0,Pork belly buns with onion,44.91
1,Lasagne with bean shoots,56.21
2,Fettuccine Alfredo with leeks,63.11
3,Chicken milanese with bean shoots,68.29
4,Tuna sashimi with endive,68.3
5,Cheeseburger with grapes,73.34
6,Chicken wings with jarrahdale pumpkin,48.2
7,Chicken milanese with chickpea,74.55
8,Vegetable Soup with okra,28.1
9,French fries with sausages with parrotfish,75.35
10,Fettuccine Alfredo with potatoes,50.23
11,Katsu Curry with onion,59.09
12,Pork sausage roll with purple carrot,20.47
13,Barbecue Ribs with celery,63.58
14,Lasagne with paprik,51.63
15,Cheeseburger with vanilla beans,39.05
16,Chicken milanese with harissa,55.53
17,Tiramisù with whiting wild rice,30.19
18,Chicken Fajitas with sun dried tomatoes,64.64
19,Fettuccine Alfredo with liver,53.49
20,Tiramisù with hijiki,22.46
21,Pappardelle alla Bolognese with asian greens,60.56
22,Ebiten maki with cardamom,47.12
23,Tuna sashimi with carrot,28.24
24,Chicken Fajitas with watercress,38.17
25,Chicken Fajitas with turnips,38.52
26,Meatballs with sauce with cabbage,45.68
27,Tiramisù with bean sprouts,21.68
28,Pork belly buns with bean shoots,27.12
29,Barbecue Ribs with butternut lettuce,33.89
30,Tuna sashimi with fresh chillies,70.14
31,Chicken wings with jerusalem artichoke,34.58
32,Ricotta stuffed Ravioli with sun dried tomatoes,51.05
33,California maki with apple cider vinegar,34.96
34,Pork belly buns with swiss chard,63.82
35,Fish and chips with mango,60.66
36,Pork sausage roll with turnips,62.38
37,Vegetable Soup with lentils,32.1
38,Scotch eggs with red pepper,63.26
39,Cheeseburger with chilli pepper,24.24
40,Barbecue Ribs with jicama,61.97
41,Ricotta stuffed Ravioli with macadamia nut,58.04
42,Chicken Fajitas with raspberry,59.09
43,Meatballs with sauce with kokam,31.29
44,Bruschette with Tomato with sage,22.94
45,Vegetable Soup with purple carrot,28.74
46,California maki with english spinach,61.17
47,Vegetable Soup with poppy seed,49.15
48,Katsu Curry with chives,68.06
49,Ricotta stuffed Ravioli with bean sprouts,42.24
50,Linguine with clams with swiss chard,49.46
51,Pasta with Tomato and Basil with red pepper,48.18
52,Ricotta stuffed Ravioli with rhubarb,66.79
53,Linguine with clams with purple carrot,65.85
54,Caesar Salad with carrot,73.93
55,Bruschette with Tomato with broccolini,40.08
56,Pappardelle alla Bolognese with pomegranate,43.49
57,Barbecue Ribs with spinach,72.49
58,California maki with swiss chard,35.2
59,Cheeseburger with fish stock,41.48
60,Pork sausage roll with brussels sprouts,43.89
61,Risotto with seafood with bok choy,40.02
62,Ricotta stuffed Ravioli with cavalo,61.04
63,Pizza with eggplant,40.67
64,Teriyaki Chicken donburi with snowpea sprouts,32.25
65,Scotch eggs with kale,39.4
66,Salmon nigiri with warehou,48.83
67,Lasagne with english spinach,47.11
68,Barbecue Ribs with beans,50.85
69,Souvlaki with tinned,52.67
70,Vegetable Soup with cabbage,36.83
71,Chicken milanese with ajowan seed,72.78
72,Vegetable Soup with red pepper,77.03
73,Barbecue Ribs with currants,41.61
74,Pasta with Tomato and Basil with passionfruit,33.57
75,Linguine with clams with broccoli,47.1
